epoch,avg_loss,accuracy,training_time,memory_usage
1,0.23593610614538194,0.64375,203.66816425323486,33847231488
2,0.11563353061676025,0.9509375,202.46156549453735,28782956544
3,0.06059303008019924,0.98375,202.50351929664612,28782956544
4,0.04195627924054861,0.995,202.58165383338928,28782956544
5,0.03243148032575846,0.99875,202.64164185523987,28782956544
