average_latency,memory_usage,final_loss
0.006909370422363281,28735488,0.003039031755179167
0.010343313217163086,34065920,0.0008767143008299172
0.012738227844238281,34243584,0.00017126003513112664
0.01688694953918457,33498112,0.015156978741288185
0.018712759017944336,33473024,0.00012794477515853941
0.02193617820739746,33447936,0.00024101372400764376
0.025631189346313477,33422848,0.0003137337334919721
0.028420448303222656,33395200,0.000281430606264621
0.03483462333679199,34091008,0.0007767339120618999
0.03501272201538086,34065920,1.3844960449205246e-05
0.03790640830993652,33321472,0.000491302227601409
0.045485496520996094,34219008,0.0004450286796782166
0.06100177764892578,34193920,0.00013293458323460072
0.04739499092102051,33447936,0.0007545060361735523
0.04973340034484863,34143744,0.000786554766818881
0.05444073677062988,33986048,0.0009151683188974857
0.055915117263793945,33168896,7.453397120116279e-05
