test_accuracy,training_time,memory_usage,final_loss
94.75,2.485442876815796,744960,0.059155579656362534
96.375,2.378854274749756,641024,0.0007236996898427606
97.0,2.344797134399414,641024,0.00021177589951548725
95.375,2.3525960445404053,641024,0.0005236956640146673
96.625,2.318362236022949,641024,0.00020340678747743368
96.375,2.377089738845825,641024,0.0029322155751287937
96.875,2.3657405376434326,641024,0.0004837248125113547
96.125,2.33027720451355,641024,0.04339037463068962
97.625,2.357041358947754,641024,0.00040411928785033524
95.75,2.3199806213378906,641024,0.01364714466035366
97.5,2.3286852836608887,644096,8.225659257732332e-05
95.75,2.37539005279541,641024,0.00021305770496837795
96.75,2.3880510330200195,641024,0.00032762522459961474
96.625,2.3480148315429688,641024,0.00025852950057014823
96.5,2.323819398880005,641024,0.0004163405974395573
96.25,2.3519937992095947,641024,0.0022074682638049126
96.75,2.352156400680542,177664,0.0003985772200394422
