loss,accuracy,training_time,memory_usage
15.059845247268676,69.5,1.9089455604553223,293.47216796875
1.7113660371303558,75.875,1.8551664352416992,133.60595703125
0.7022681713104248,79.375,1.8421669006347656,129.07470703125
0.478141211271286,81.375,1.8576898574829102,129.07470703125
0.36552627503871915,82.625,1.8234729766845703,129.07470703125
0.31417737185955047,84.125,1.9157867431640625,129.07470703125
0.2738155198097229,84.125,1.8638594150543213,129.07470703125
0.2533943772315979,84.125,1.9039185047149658,129.07470703125
0.23741438388824462,85.125,1.8565235137939453,129.07470703125
0.2257204219698906,85.0,1.867504358291626,131.11767578125
